1000000070,1000000070,258,ФРАНЦУЗСКАЯ ПОЛИНЕЗИЯ,ФРАНЦУЗ ПОЛИНЕЗИЯСЫ,ФРАНЦУЗСКАЯ ПОЛИНЕЗИЯ,ФРАНЦУЗ ПОЛИНЕЗИЯСЫ,FRENCH POLYNESIA,0,1000000070,"18.04.16 15:22:11,693814000"
1000000071,1000000071,262,ДЖИБУТИ,ДЖИБУТИ,ДЖИБУТИ,ДЖИБУТИ,DJIBOUTI,0,1000000071,"18.04.16 15:22:11,732693000"
1000000072,1000000072,266,ГАБОН,ГАБОН,ГАБОН,ГАБОН,GABON,0,1000000072,"18.04.16 15:22:11,741723000"
1000000073,1000000073,268,ГРУЗИЯ,ГРУЗИЯ,ГРУЗИЯ,ГРУЗИЯ,GEORGIA,0,1000000073,"18.04.16 15:22:11,750500000"
1000000074,1000000074,270,ГАМБИЯ,ГАМБИЯ,ГАМБИЯ,ГАМБИЯ,GAMBIA,0,1000000074,"18.04.16 15:22:11,759497000"
1000000075,1000000075,274,СЕКТОР ГАЗА,ГАЗ СЕКТОРЫ,СЕКТОР ГАЗА,ГАЗ СЕКТОРЫ,GAZA STRIP,0,1000000075,"18.04.16 15:22:11,767810000"
1000000076,1000000076,276,ГЕРМАНИЯ,ГЕРМАНИЯ,ГЕРМАНИЯ,ГЕРМАНИЯ,GERMANY,0,1000000076,"18.04.16 15:22:11,776404000"
1000000077,1000000077,288,ГАНА,ГАНА,ГАНА,ГАНА,GHANA,0,1000000077,"18.04.16 15:22:11,784269000"
1000000078,1000000078,292,ГИБРАЛТАР,ГИБРАЛТАР,ГИБРАЛТАР,ГИБРАЛТАР,GIBRALTAR,0,1000000078,"18.04.16 15:22:11,793153000"
1000000079,1000000079,296,КИРИБАТИ,КИРИБАТИ,КИРИБАТИ,КИРИБАТИ,KIRIBATI.,0,1000000079,"18.04.16 15:22:11,801222000"
1000000080,1000000080,300,ГРЕЦИЯ,ГРЕКИЯ,ГРЕЦИЯ,ГРЕКИЯ,GREECE,0,1000000080,"18.04.16 15:22:11,809467000"
1000000081,1000000081,304,ГРЕНЛАНДИЯ,ГРЕНЛАНДИЯ,ГРЕНЛАНДИЯ,ГРЕНЛАНДИЯ,GREENLAND,0,1000000081,"18.04.16 15:22:11,818169000"
1000000082,1000000082,308,ГРЕНАДА,ГРЕНАДА,ГРЕНАДА,ГРЕНАДА,GRENADA,0,1000000082,"18.04.16 15:22:11,826771000"
1000000083,1000000083,312,ГВАДЕЛУПА,ГВАДЕЛУПА,ГВАДЕЛУПА,ГВАДЕЛУПА,GUADELIFE,0,1000000083,"18.04.16 15:22:11,835941000"
1000000084,1000000084,316,ГУАМ,ГУАМ,ГУАМ,ГУАМ,GUAM.,0,1000000084,"18.04.16 15:22:11,843777000"
1000000085,1000000085,320,ГВАТЕМАЛА,ГВАТЕМАЛА,ГВАТЕМАЛА,ГВАТЕМАЛА,GUATEMALA,0,1000000085,"18.04.16 15:22:11,851822000"
1000000086,1000000086,324,ГВИНЕЯ,ГВИНЕЯ,ГВИНЕЯ,ГВИНЕЯ,GUINEA,0,1000000086,"18.04.16 15:22:11,859473000"
1000000087,1000000087,328,ГАЙАНА,ГАЙАНА,ГАЙАНА,ГАЙАНА,GUYANA,0,1000000087,"18.04.16 15:22:11,868195000"
1000000088,1000000088,332,ГАИТИ,ГАИТИ,ГАИТИ,ГАИТИ,HAITI,0,1000000088,"18.04.16 15:22:11,879292000"
1000000089,1000000089,336,ВАТИКАН,ВАТИКАН,ВАТИКАН,ВАТИКАН,VATICAN,0,1000000089,"18.04.16 15:22:11,888102000"
1000000090,1000000090,340,ГОНДУРАС,ГОНДУРАС,ГОНДУРАС,ГОНДУРАС,HONDURAS,0,1000000090,"18.04.16 15:22:11,896196000"
1000000091,1000000091,344,ГОНКОНГ,ГОНКОНГ,ГОНКОНГ,ГОНКОНГ,HONG KONG,0,1000000091,"18.04.16 15:22:11,904308000"
1000000092,1000000092,348,ВЕНГРИЯ,ВЕНГРИЯ,ВЕНГРИЯ,ВЕНГРИЯ,HUNGARY,0,1000000092,"18.04.16 15:22:11,912657000"
1000000093,1000000093,352,ИСЛАНДИЯ,ИСЛАНДИЯ,ИСЛАНДИЯ,ИСЛАНДИЯ,ICELAND,0,1000000093,"18.04.16 15:22:11,919468000"
1000000094,1000000094,356,ИНДИЯ,ИНДИЯ,ИНДИЯ,ИНДИЯ,INDIA,0,1000000094,"18.04.16 15:22:11,923597000"
1000000095,1000000095,360,ИНДОНЕЗИЯ,ИНДОНЕЗИЯ,ИНДОНЕЗИЯ,ИНДОНЕЗИЯ,INDONESIA,0,1000000095,"18.04.16 15:22:11,928356000"
1000000096,1000000096,364,ИРАН,ИРАН,ИРАН,ИРАН,IRAN,0,1000000096,"18.04.16 15:22:11,933313000"
1000000097,1000000097,368,ИРАК,ИРАК,ИРАК,ИРАК,IRAQ,0,1000000097,"18.04.16 15:22:11,937824000"
1000000098,1000000098,372,ИРЛАНДИЯ,ИРЛАНДИЯ,ИРЛАНДИЯ,ИРЛАНДИЯ,IRELAND,0,1000000098,"18.04.16 15:22:11,941742000"
1000000099,1000000099,376,ИЗРАИЛЬ,ИЗРАИЛЬ,ИЗРАИЛЬ,ИЗРАИЛЬ,ISRAEL,0,1000000099,"18.04.16 15:22:11,946153000"
1000000100,1000000100,380,ИТАЛИЯ,ИТАЛИЯ,ИТАЛИЯ,ИТАЛИЯ,ITALY,0,1000000100,"18.04.16 15:22:11,950040000"
1000000101,1000000101,384,КОТ Д ИВУАР,КОТ Д ИВУАР,КОТ Д ИВУАР,КОТ Д ИВУАР,CAT D IVOIRE,0,1000000101,"18.04.16 15:22:11,953519000"
1000000102,1000000102,388,ЯМАЙКА,ЯМАЙКА,ЯМАЙКА,ЯМАЙКА,JAMAICA,0,1000000102,"18.04.16 15:22:11,957438000"
1000000103,1000000103,392,ЯПОНИЯ,ЖАПОНИЯ,ЯПОНИЯ,ЖАПОНИЯ,JAPAN,0,1000000103,"18.04.16 15:22:11,961113000"
1000000104,1000000104,396,ДЖОНСТОНА О-В,ДЖОНСТОН АРАЛЫ,ДЖОНСТОНА О-В,ДЖОНСТОН АРАЛЫ,JOHNSTON O-IN,0,1000000104,"18.04.16 15:22:11,964995000"
1000000105,1000000105,398,КАЗАХСТАН,ҚАЗАҚСТАН,КАЗАХСТАН,ҚАЗАҚСТАН,KAZAKHSTAN,1,1000000105,"18.04.16 15:53:35,895332000"
1000000106,1000000106,400,ИОРДАНИЯ,ИОРДАНИЯ,ИОРДАНИЯ,ИОРДАНИЯ,JORDAN,0,1000000106,"18.04.16 15:22:11,972568000"
1000000107,1000000107,404,КЕНИЯ,КЕНИЯ,КЕНИЯ,КЕНИЯ,KENYA,0,1000000107,"18.04.16 15:22:11,976301000"
1000000108,1000000108,408,КНДР,КХДР,КНДР,КХДР,DPRK,0,1000000108,"18.04.16 15:22:11,979896000"
1000000109,1000000109,410,ЮЖНАЯ КОРЕЯ,ОҢТҮСТІК КОРЕЯ,ЮЖНАЯ КОРЕЯ,ОҢТҮСТІК КОРЕЯ,SOUTH KOREA,0,1000000109,"18.04.16 15:22:11,983440000"
1000000110,1000000110,414,КУВЕЙТ,КУВЕЙТ,КУВЕЙТ,КУВЕЙТ,KUWAIT,0,1000000110,"18.04.16 15:22:11,987354000"
1000000111,1000000111,417,КЫРГЫЗСТАН,ҚЫРҒЫЗСТАН,КЫРГЫЗСТАН,ҚЫРҒЫЗСТАН,KYRGYZSTAN.,1,1000000111,
1000000112,1000000112,418,ЛАОС,ЛАОС,ЛАОС,ЛАОС,LAOS,0,1000000112,"18.04.16 15:22:11,994824000"
1000000113,1000000113,422,ЛИВАН,ЛИВАН,ЛИВАН,ЛИВАН,LEBANON,0,1000000113,"18.04.16 15:22:11,998648000"
1000000114,1000000114,426,ЛЕСОТО,ЛЕСОТО,ЛЕСОТО,ЛЕСОТО,LESOTHO,0,1000000114,"18.04.16 15:22:12,002388000"
